"dbref","name","full_name","alias","sex","race","homeworld","affiliation","organization","occupation","business","background","lastconnected","im","email","url","away","status","quote","note"
"3789","DS_Builder","**NONE**","DeathBuild","Male","Human","","Imperial","**NONE**","**NONE**","","**NONE**","Thu Jun 30 19:51:59 2005","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3790","Murleen","Paul Murleen","Murl","Male","Human","","Unaffiliated","Independent","CSA Executive Officer","","See +background Murleen 0","Wed Jan 31 07:57:10 2001","**NONE**","[redacted-email]","**NONE**","","","","In this ubiquitous SWMUSH movie, Murleen would be played by an actor that nobody's ever heard of, and would be listed in the credits as Imperial Officer #3."
"3796","Adlerson","Lord Morlok Adlerson","Morlok","Male","Human","","Imperial","**NONE**","Retired","","  Type:  +background Adlerson 1 -- if you are Imperial.
        +background Adlerson 2 -- if you are Inidie/Non-NR.
        +background Adlerson 3 -- if you are NR.
        +background Adlerson 4 -- If you want a few updates.
        +background Adlerson 5 -- if you want to read THE RULES.","Tue May 31 08:20:17 2005","[redacted]","[redacted-email]","[redacted]","","","","In 'SW MUSH - The Movie', Sir Sean Connery would play Adlerson.

I guess I could be pretty pissed off about what happened to me...
  but it's hard to stay mad, when there's so much beauty in the world. Sometimes I feel like I'm seeing it all at once, and it's too much, my heart fills up like a balloon that's about to burst...

And then I remember to relax, and stop trying to hold on to it, and then it flows through me like rain and I can't feel anything but gratitude for every single moment of my stupid little life...

You have no idea what I'm talking about, I'm sure... but don't worry...

You will - someday."
"3825","silly7722","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Apr 17 20:46:06 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3829","Jondaaros","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Mar 23 22:58:12 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3843","Vaamzus","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Mar 23 22:56:02 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3855","Dauthus","Dauthus Snunb","Dau","Male","Sullustan","","Unknown","Republic Military","**NONE**","","**NONE**","Thu Jul 05 17:30:27 2007","**NONE**","Ask me","**NONE**","I'm not here right now. . .go bother someone else or @mail me! =}","","","        Some Common Misconceptions of the SW Galaxy, Based on this MUSH        

1.      95% of the galaxy's population is human.
2.      95% of humans have green eyes.
3.      95% of humans are from Corellia, while the other 5% are from Alderaan.
4.      About 90% of all non-Imperial sentient beings have been involved in at least one smuggling operation in their lifetime."
"3864","Kaley","Kahaliana Recourua","Kal","Female","Sarian","","Unaffiliated","Caspar","**NONE**","","**NONE**","Fri Nov 06 10:39:24 2020","**NONE**","**NONE**","**NONE**","","","","If you remember me, your memory is better than mine."
"3866","Oberon","Obi-ron Shinobi","Obi","Male","Demon","Bizarro World","Management","Unknown","Unemployed","Monkey","Former CSA FH, Former Business Wizard","Sun Aug 24 08:14:14 2008","[redacted]","[redacted-email]","[redacted]","Pullin' a Kenobi...I'm here, but only in spirit.","","","<Recruit> Oberon says, ""There ya go, Pent....There's a newbie. She just doesn't like you.""
<Recruit> Griffons recruiter Penta baps Obie.
<Recruit> Oberon winces, ""No wonder she doesn't like you.""
<Recruit> Griffons recruiter Penta doesn't bap the newwwwwwwwwwbies. Only the Obies.:>
 Unread @mail msgs: 0
 Character Creation Date: Sat Mar 22 14:19:53 1997 (that's 10685d  8h  7m 21s ago)"
"3890","Korreptus","Korreptus Kaide","korr","male","Twi'lek","Ryloth?","Unaffiliated","Caspar","","","Korreptus Kaide is a Twi'lek born on Ryloth, as far as he can remember. Memories of his past years are very fuzzy, but Korreptus doesn't dwell on them. Having woke in an alley on Tatooine, vaguely remembering his childhood on Ryloth, Korreptus decided to seize the day and immediately began training on basic computers and ships. Living on the street taught him much on bargaining and how to survive, but his love for computers made him pursue security, cryptography and programming more in depth. Being only 19 years old, Korreptus is currently the Chief Operations Officer of FLS and is working hard to help Contora run FLS, while having a great time and learning about cultures, art and money.","Thu Jul 02 11:24:31 2009","**NONE**","Please use @mail, thanks.","**NONE**","","","","I have 1 unread @mails. I have been fingered 2 times today."
"3892","Malar","**NONE**","**NONE**","Male","Quarren","Calamari","Unknown","**NONE**","Crewer","","**NONE**","Wed Jan 17 19:44:54 2024","**NONE**","**NONE**","**NONE**","","","","""Molly, you in danger, girl!"" -- Whoopi."
"3908","Leufroy","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Mar 23 22:54:26 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3911","Wibble","Wibble Sniklit","**NONE**","male","Chadra-Fan","","New Republic","Independent","**NONE**","","**NONE**","Sun Dec 07 22:40:52 2008","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3927","Gabrielle","Gabrielle Damion","Gab","Female","Human","Corellia","Unknown","Republic Military","**NONE**","","***Find out ICly***","Sun Aug 23 22:27:47 2009","**NONE**","**NONE**","[redacted]","Please @mail. I'll get back to you as soon as I can.","","","In ""Star Wars MUSH: The Movie"" Gabrielle would be played by Sandra Bullock

Quote:"
"3968","Symbel","Symbel Vess","**NONE**","Female","**NONE**","Eriadu","**NONE**","**NONE**","Vagabond, travelling the stars in search of a deeper enlightenment.","","**NONE**","Mon Mar 23 11:38:10 2020","**NONE**","**NONE**","**NONE**","","","","OOC: English isn't my first language, so I'll probably do some mistakes here and there. Sorry about that."
"3977","Tace","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Mar 05 11:18:30 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"3989","Kepone","**NONE**","Kep","Male","Mosquito","","Management","**NONE**","Force and Features Wizard","","**NONE**","Mon Jan 24 08:59:49 2011","**NONE**","[redacted-email]","**NONE**","","","","In SW Mush: The Movie, Kepone would be played by +commands (wiz inherit).


The Light Side: There is no emotion, there is peace. There is no ignorance, there is knowledge. There is no passion, there is serenity. There is no death, there is the Force.

The Dark Side: There is no peace, there is anger. There is no fear, there is power. There is no death, there is immortality. There is no weakness, there is the Dark Side.

On the mush for 29y 99d 20h  8m  9s"
"3990","Alysha","Alysha Mara","Aly","Female","Human","Cochran","Imperial","Imperial Military","Imperial Security Bureau","","""And they watched him, and sent forth spies, which should feign themselves just men, that they might take hold of his words, that so they might deliver him unto the power and authority of the governor.""","Sat Feb 05 10:04:52 2022","**NONE**","@mail preferred","**NONE**","","","","In SW1: The Movie, Alysha would be played by Adrianne Palicki."
"3993","Stalh","**Unknown**","SS","Male","Human","","Unaffiliated","Independent","General Evil-Doer","","","Mon Apr 23 17:32:08 2007","**NONE**","","","Hey, I don't only torture people online but IRL too. In fact, the reason I'm not here at the moment is because I have another succulent morsel to torment. Hey, somebody's gotta do it. I'm just lucky, I guess. ;)","","","                History is not marshalled by reason,
                But by the idiocies of lethal fools.

""I find it best to plan military affairs on the twin principles that whatever I am told is certain to never occur, and that whatever is proclaimed as impossible is disastrously imminent.""
                                        'Colonel Elijah Hudson', ""Battle Flag""

""The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.""     Thomas Jefferson

In 'Star Wars MUSH: The Movie', Amadeus would piously be played by His Eminence,
 Malcolm MacDowell.

In 'Star Wars MUSH: The Movie', Stalh would be venomously played by
 Stuart Townsend

In 'Star Wars MUSH: The Animated Movie', Stalh would be 'played' by
 General Hein from Final Fantasy: The Spirit Within.

This version of Stalh is 10684d 20h 08m 53s old."
"3995","Daven","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Feb 23 18:37:12 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4007","Isidore","**NONE**","**NONE**","**NONE**","jawa","","New Republic","Republic Military","**NONE**","","**NONE**","Sun Jun 06 21:36:07 2021","**NONE**","**NONE**","**NONE**","","","","I currently have 12 unread message(s)."
"4013","Andros","Andros Kell","**NONE**","Male","Human","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Oct 04 06:32:27 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4014","Loreck","Loreck Hawkins","**NONE**","Male","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Fri Oct 29 19:12:35 2021","**NONE**","**NONE**","**NONE**","","","","Careful there!"
"4015","Lodrezoh","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Feb 13 08:26:55 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4031","Valak","Bacharan Valak","VK","Male","Human","Unknown","Imperial","**NONE**","Ol' Dirty Valak","Laying low.","Rigid Imperial garrison commander who stopped halfway through his Army career to transfer to the Navy. He became a brilliant naval commander and rose rapidly from the command of an Interdictor Heavy Cruiser to eventually the top Navy command spot. As the Empire became unstable after the disappearance of Emperor Alaric, Valak left the military and became involved in higher level affairs of the remains of the Galactic Empire.
        As a warlord, Bacharan Valak began the most aggressive period in Imperial history. His march culminated when he declared himself Emperor as rumours began to float that he tampered in something known as the ""Dark Side"" of the ""Force,"" a form of sorcery that supposedly gives it's wielders great power.
        Under his lengthy regime, the longest since Emperor Palpatine himself, Emperor Valak decimated the rebellion behind the success of the Advanced Death Star and strong military tactics. It is also believed that Valak was responsible for the deaths of several other ""Force"" users while waging a war against rebel hero Luke Skywalker and his allies.
        It has been rumored that Valak has not been heard from or seen publicly in some months.","Sun Dec 19 12:39:38 2010","**NONE**","Just dropped in to see what condition my condition was in.","[redacted]","The dude's not in, leave an @mail.","","","There is no peace, there is anger. There is no fear, there is power. There is no death, there is immortality. There is no weakness, there is the Dark Side. I am the Heart of Darkness. I know no fear, but rather I instill it in my enemies. I am the destoyer of worlds. I know the power of the Dark Side. I am the fire of hate. All the Universe bows before me. I pledge myself to the Darkness -- for I have found true life...in the death of the light."
"4043","Lonrina","Lonri'napara","**NONE**","Female","Twi'lek","","Unaffiliated","Independent","**NONE**","","**NONE**","Wed Feb 25 19:54:21 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4047","Greg","Cobra","**NONE**","Male","Minkar","","**NONE**","**NONE**","**NONE**","","          Once upon a time there was a wizard. And he lived happily ever after.","Wed Jul 30 01:17:13 2003","[redacted]","[redacted-email], [redacted-email]","[redacted]","","","","""It's not a bug, it's a feature!"""
"4049","Jaspar","Jaspar Andromidas","Jasp","Male","Human","Corellia","New Republic","Independent","Smuggler","Andromidas Galaxy Logistics","**NONE**","Tue Jun 23 10:00:31 2026","**NONE**","@mail preferred","**NONE**","","","","I have been here for 11 years, 141 days, 4 hours, 50 minutes, and 49 seconds. The character was created on: Thu Feb 05 17:36:30 2015."
"4051","ANARILIS","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Jan 30 05:37:09 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4060","Sen","Sen Adulla","**NONE**","Male","Human","Esseles","Unaffiliated","Independent","Entertainer","","**NONE**","Sun Mar 08 17:38:21 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4067","Nyvryn","**NONE**","Nyv","Female","Wookiee","","Unaffiliated","Independent","Bodyguard","","**NONE**","Wed May 04 09:09:53 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4071","Molly","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Dec 26 10:12:21 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4072","Aerdryn","Aerdryn Starsong","**NONE**","female","**NONE**","","New Republic","**NONE**","**NONE**","","**NONE**","Tue Dec 16 21:09:05 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4079","ravensnick","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Dec 05 19:13:54 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4080","varanath","**NONE**","**NONE**","**NONE**","**NONE**","","New Republic","**NONE**","**NONE**","","**NONE**","Wed Feb 19 13:41:41 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4081","Will","Will Pymari","Pymari","Male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Feb 04 18:02:01 2015","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"4084","Hevatian","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Dec 01 01:50:07 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4104","Murdock","Murdock ""Mad Dog"" DuPree","Yo_Mamma","Male","Verpine","Roche","Unaffiliated","CSA","Technology Guru","","Just your average Verpine. Until now.","Fri Jan 04 15:52:02 2019","[redacted]","@mail and ask.  You just might get lucky. ;)","[redacted]","","","","In Star Wars MUSH: The Movie Murdock would be played by Zorack from Space Ghost."
"4112","Keoto","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Nov 24 13:38:46 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4113","Bob","Boba Geront","Bob","male","Bothan","","New Republic","Republic_military","**NONE**","","**NONE**","Mon Dec 01 03:50:24 2014","**NONE**","[redacted-email]","**NONE**","","","","Re-New. I'll get into this again soon enough."
"4115","Etherick","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Nov 23 12:00:07 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4118","Sexton","Alanna Sexton","Lana","Female","Human","","Imperial","Imperial Military","XO - V2SD Nemesis","","**NONE**","Thu Jan 16 03:52:56 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4119","Imamari","**NONE**","mama","Female","Twi'lek","","Unaffiliated","Independent","**NONE**","","**NONE**","Fri Dec 12 19:20:19 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4120","Niklos","Veridn'iklos'oombra","Nik","Male","Near Human","Csilla","Unaffiliated","Independent","Scoundrel","Crime","Niklos is a sketchy Chiss who works for the Hutts on Nar Shaddaa. He can frequently be found playing sabacc.","Sat Jan 24 18:59:30 2015","**NONE**","**NONE**","**NONE**","","","","A Chiss freelancer who frequently works for various crime cartels."
"4133","Nikoova","Nikoova Ordona","**NONE**","Female","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Mon Dec 28 12:51:27 2015","**NONE**","**NONE**","**NONE**","","","","Too sexy for your shirt"
"4135","eahan","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Oct 28 02:38:45 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4140","Korrhe","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Oct 25 16:32:30 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4155","Triphon","**NONE**","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Feb 23 23:17:42 2016","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"4156","Soul-on-Ice","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Nov 03 16:26:47 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4177","zanta","**NONE**","**NONE**","**NONE**","**NONE**","","Imperial","**NONE**","**NONE**","","**NONE**","Sat Dec 14 14:57:57 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4180","Katabasis","**NONE**","**NONE**","Female","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Dec 04 08:26:28 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4234","Xandara","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Dec 01 14:42:57 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4237","Weber","**NONE**","**NONE**","Male","Mon Calamari","","Management","**NONE**","Building Wizard","","**NONE**","Thu Jan 03 05:57:03 2002","**NONE**","[redacted-email]","**NONE**","","","","    I'm the new building wizard.  It's my job to make sure that
    everything built on the MUSH conforms to the building rules
    as laid out in SWINFO BRULES.  I'm also going to look out
    for little things like typos in room descriptions, and
    whatever else comes my way.

    When I'm visible on the WHO list, feel free to page me
    with any questions or problems that you need a wizard for.

    I'm living 10 hours ahead of MUSH time, so the best time
    to catch me online may be between 8am and 2pm MUSH time."
"4242","Ranabi","Ranabi","**NONE**","Male","Human","","New Republic","Republic Military","Unknown","","Classified","Thu Mar 25 08:57:40 2021","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4251","varath","**NONE**","**NONE**","**NONE**","**NONE**","","Imperial","**NONE**","**NONE**","","**NONE**","Sat Dec 14 20:22:25 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4282","Darrien","Darrien Oakenroot","D","Male","Human","DarrienLand","Management","**NONE**","Code Wizard","","","Sat Nov 16 18:49:21 2024","[redacted]","[redacted-email]","[redacted]","You have reached Darrien's Refrigerator. The answering machine is on the fritz, but if you leave a name and a message I'll be happy to stick it to my chest.","","","+background Darrien (1 through 15) for various jokes."
"4283","Vireo","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Nov 02 07:16:45 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4294","Sabbath","Sabbathius Osbourne","Sab","Male","Human","","**NONE**","**NONE**","**NONE**","","Due to overwhelming pressure from the powers that be, Sabbath has been retired.","Thu Oct 13 14:14:33 2005","**NONE**","**NONE**","[redacted]","","","","**NONE**"
"4300","Kelbris","kelbris cooper","**NONE**","male","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Fri Jan 08 15:49:25 2016","**NONE**","[redacted-email]","**NONE**","","","","hi everyone, this is my first ever MUSH"
"4315","BC_RSI","Repulsor Sports Inc.","RSI","Fast","**NONE**","","Unaffiliated","Caspar","Speeding","","**NONE**","Thu May 27 21:37:08 2021","**NONE**","**NONE**","**NONE**","","","","RepulsorSports Inc.
Ride like the wind...

RSI has three divisions: retail, management and consulting.

Retail
Ride Like the Wind swoop shops
- A place for the repulsorsport enthusiast -

These shops, named for RSI's slogan, encompass a variety of speed sporting goods and services. The shops are a central place where racers can come to purchase, repair and upgrade swoops as well as simply gather to tinker and shoot the breeze. Most shops feature a garage, showroom, and lounge. Ride Like the Wind garages offer repairs and upgrades as well as space for individuals to work on their own swoops if they so desire. The showrooms feature new and used swoops, other sporting equipment for sale or rent such as repulsor ski's, repulsor snow boards and repulsor wave boards, climbing gear, apparel and accessories. The lounges of Ride like the Wind are a place to meet, hang out and rp for swoopers and fans. Shops can be found near racing arenas on Nar Shadda, Corellia, Selene, Theseus Station at Etti IV and two locations on Caspar, Plaxton City and at RSI's Marin Mountain Resort.

Management
RSI TEAM Management Services

RSI offers swoop team management and recruiting services. For a fee, an RSI consultant will structure, hire and equip a swoop team for you, your business or your faction.

Consutlting
RSI Tracks

This division of RSI offers services including the designing, building, and maintenance of swoop tracks. For a fee, RSI will oversee all phases of swoop track planning, construction and management. A sub-division includes RSI Events and Promotions."
"4330","Marcus","Marcus Kittinger","MK","Male","Human","Corellia","Unaffiliated","Independent","Pilot","","More fun to share IC.","Thu Mar 04 07:37:56 2010","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4332","mulgarath","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Jun 23 15:16:44 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4340","Noxx","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Jun 18 00:06:15 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4359","Telal","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Oct 14 18:51:41 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4362","AUGUST","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun May 29 17:50:45 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4365","Javo","**NONE**","**NONE**","guy","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed May 25 11:49:34 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4366","Jinn","Tomrath Jinn","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat May 14 21:33:08 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4368","Zenon","**NONE**","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed May 11 19:26:30 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4373","Drax","Drax Rendolen","MixMasterDrax;Dr","Male","Human","Alderaan","Unknown","Unknown","Space Cowboy","","Check the wiki or just RP with me.","Sun Mar 31 02:30:04 2024","**NONE**","Use @mail.","[redacted]","Sorry, not here! Try @mail.","",""," Age:   25y 227d 52m 19s
 Song of the Day:     Freedom Hawk - ""Hollow Caverns""
 Quote of the Day:   ""Fate opposes me
                      in vitality
                      and morality,
                      forced ever onward,
                      burdened,
                      always in shackles.
                      So this very moment,
                      without tarrying,
                      pluck the quivering strings.
                      Because Fate
                      punishes the one who plays,
                      all lament with me!""

                      Carmina Burana :: ""O Fortuna""
--------------------------------< Awards: 1 >---------------------------------
        * Legend Status: awarded February 2003"
"4385","Doug","Grim Reaper","Twink","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Jun 28 15:05:34 2008","**NONE**","**NONE**","**NONE**","","","","A /dev/null file with a player flag."
"4389","Varon","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Oct 11 21:45:05 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4395","vara","**NONE**","**NONE**","male","**NONE**","","New Republic","Independent","**NONE**","","**NONE**","Sat Oct 12 09:14:21 2024","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4410","Kyyel","Kyyel Marrak","Ky","Male","Human","Corellia","New Republic","Caspar","","","Background available, check +background Kyyel 0","Fri Jan 13 19:11:22 2023","[redacted]","","**NONE**","There is no death, there is RL.","","","**NONE**"
"4423","quirin","Quirin Jin","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Oct 23 00:24:01 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4427","zarrgon","**NONE**","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Fri Oct 10 11:54:41 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4441","Fryeguy63Jr","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Sep 09 11:34:29 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4444","damoven","**NONE**","**NONE**","Male","Wookiee","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Aug 28 17:09:41 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4450","Zortin","<Zortin Rolin>","**NONE**","<m>","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Jun 13 07:32:01 2019","**NONE**","**NONE**","**NONE**","","","","<You don't know me like that!>"
"4466","Sam'viel","Sam'viel Zakarin","sam","male","**NONE**","","Unaffiliated","Independent","**NONE**","","**NONE**","Sun Sep 28 21:34:53 2014","**NONE**","[redacted-email]","**NONE**","","","","I can't remember if I deleted my character. To be honest, I think I may have pissed people off--I was young and stupid when I was on here--and maybe my character was deleted... or maybe there was some setting, one to put my character into an inactive state, that I didn't do. Anyway, everybody I remember is still around as ghosts (no longer present, but with their digital avatars preserved), and I want to join them in the virtual graveyard. I really loved this MUSH; it gave me so many fond memories, and I've always been frustrated that real life (and my own weaknesses as a messed up teenager) ruined it all for me. If anyone I used to know wants to get in touch, feel free to hit me up at [redacted-email]"
"4473","Varlo","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Sep 27 17:35:10 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4513","OPFORJR","**NONE**","**NONE**","MALE","Human","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed May 11 04:23:31 2022","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4515","solaris","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu May 02 21:39:29 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4520","Verdolph","Verdolph Vathius Vat'Phunince","**NONE**","male","Sluissi","","Imperial","**NONE**","**NONE**","","**NONE**","Thu Mar 26 16:56:49 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4522","Enyhme","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Aug 31 14:15:53 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4527","Sinclair","**NONE**","Sin","Male","Human","","Unaffiliated","Independent","**NONE**","","**NONE**","Thu Feb 26 00:20:02 2009","**NONE**","**NONE**","**NONE**","","","","This char has a strong resembilance to the actor Clint Eastwood"
"4538","BC_Pirates","**NONE**","**NONE**","**NONE**","Duros","","Unaffiliated","**NONE**","**NONE**","","**NONE**","Tue Jul 07 09:06:39 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4550","Illotha","Illotha Zhenya Licenti","Ill","f","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Thu Feb 12 16:44:51 2015","**NONE**","**NONE**","**NONE**","","","","Say hi!"
"4552","kowe","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed May 01 18:54:24 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4564","REECE","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Aug 12 16:49:11 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4565","BC_CSALotto","BC_CSALotto Ottolasc_cb","Lotto","N","Vaathkree","","Unaffiliated","CSA","**NONE**","","**NONE**","Sun Sep 21 19:08:59 2008","**NONE**","**NONE**","**NONE**","","","","Lottery Monster...for the protection of such institutions."
"4568","Raoi","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Aug 07 21:59:05 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4569","Bruce","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Apr 30 07:57:09 2019","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4570","Reyne","Martan Reyne","**NONE**","male","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Sun Aug 17 09:44:32 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4584","Ryan","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Aug 05 21:23:23 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"4585","ariah","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Aug 04 09:07:52 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
